ID;event;event_number;mp;Source;lineupcat_id;event_number_new
2021-04-25T02:54:00-CME-001;3;21;0;S24W45;MULTI_2021-04-25_01;96
ICME_Wind_MOESTL_20210429_01;1;21;0;S24W45;MULTI_2021-04-25_01;96
HCME_A__20210427_01;0;22;0;S50W05;MULTI_2021-04-26_01;95
2021-04-26T19:39:00-CME-001;3;22;0;S50W05;MULTI_2021-04-26_01;95
ICME_Wind_MOESTL_20210501_01;1;22;0;S50W05;MULTI_2021-04-26_01;95
HCME_A__20210430_01;0;23;0;-;MULTI_2021-04-29_01;94
2021-04-29T19:24:00-CME-001;3;23;0;-;MULTI_2021-04-29_01;94
ICME_PSP_MOESTL_20210430_01;1;23;8;;MULTI_2021-04-29_01;94
ICME_STEREO_A_MOESTL_20210504_01;1;23;8;-;MULTI_2021-04-29_01;94
ICME_BEPI_MOESTL_20210508_01;1;24;9;;MULTI_2021-05-08_01;93
ICME_SOLO_MOESTL_20210510_01;1;24;9;;MULTI_2021-05-08_01;93
HCME_A__20210509_01;0;25;0;S20E10;MULTI_2021-05-09_01;92
2021-05-09T11:23:00-CME-001;3;25;0;S20E10;MULTI_2021-05-09_01;92
ICME_Wind_MOESTL_20210512_01;1;25;0;S20E10;MULTI_2021-05-09_01;92
ICME_Wind_MOESTL_20210526_01;1;26;10;-;MULTI_2021-05-26_01;91
ICME_STEREO_A_MOESTL_20210526_01;1;26;10;-;MULTI_2021-05-26_01;91
HCME_A__20210526_01;0;27;0;S40W50;MULTI_2021-05-25_01;90
2021-05-25T19:00:00-CME-001;3;27;0;S40W50;MULTI_2021-05-25_01;90
ICME_PSP_MOESTL_20210528_01;1;27;0;S40W50;MULTI_2021-05-25_01;90
