ID;event;event_number;mp;Source;lineupcat_id;event_number_new
ICME_BEPI_MOESTL_20220329_01;1;57;23;N12W01;MULTI_2022-03-28_01;60
ICME_Wind_MOESTL_20220331_01;1;57;23;N12W01;MULTI_2022-03-28_01;60
HCME_A__20220404_01;0;58;0;S25E20;MULTI_2022-04-04_01;59
2022-04-04T22:12:00-CME-001;3;58;0;S25E20;MULTI_2022-04-04_01;59
ICME_Wind_MOESTL_20220408_01;1;58;0;S25E20;MULTI_2022-04-04_01;59
HCME_A__20220409_01;0;59;0;-;MULTI_2022-04-09_01;58
2022-04-09T09:12:00-CME-001;3;59;0;-;MULTI_2022-04-09_01;58
ICME_Wind_MOESTL_20220413_01;1;59;0;-;MULTI_2022-04-09_01;58
HCME_A__20220411_01;0;60;0;S15E05;MULTI_2022-04-11_01;57
2022-04-11T06:00:00-CME-001;3;60;0;S15E05;MULTI_2022-04-11_01;57
ICME_BEPI_MOESTL_20220413_01;1;60;24;S15E05;MULTI_2022-04-11_01;57
ICME_Wind_MOESTL_20220414_01;1;60;24;S15E05;MULTI_2022-04-11_01;57
HCME_A__20220416_01;0;61;0;-;MULTI_2022-04-16_01;56
2022-04-16T11:54:00-CME-001;3;61;0;-;MULTI_2022-04-16_01;56
ICME_PSP_MOESTL_20220418_01;1;61;0;-;MULTI_2022-04-16_01;56
HCME_A__20220602_01;0;62;0;S35W40;MULTI_2022-06-02_01;55
2022-06-02T06:09:00-CME-001;3;62;0;S35W40;MULTI_2022-06-02_01;55
ICME_BEPI_MOESTL_20220603_01;1;62;25;S35W40;MULTI_2022-06-02_01;55
ICME_Wind_MOESTL_20220606_01;1;62;25;S35W40;MULTI_2022-06-02_01;55
HCME_A__20220605_01;0;63;0;S35W50;MULTI_2022-06-05_01;54
2022-06-05T14:12:00-CME-001;3;63;0;S35W50;MULTI_2022-06-05_01;54
ICME_BEPI_MOESTL_20220607_01;1;63;0;S35W50;MULTI_2022-06-05_01;54
HCME_A__20220627_01;0;64;0;S30E09;MULTI_2022-06-26_01;53
2022-06-26T18:23:00-CME-001;3;64;0;S30E09;MULTI_2022-06-26_01;53
ICME_Wind_MOESTL_20220702_01;1;64;0;S30E09;MULTI_2022-06-26_01;53
HCME_A__20220703_02;0;65;0;-;MULTI_2022-07-03_01;52
2022-07-03T03:09:00-CME-001;3;65;0;-;MULTI_2022-07-03_01;52
ICME_Wind_MOESTL_20220707_01;1;65;0;-;MULTI_2022-07-03_01;52
HCME_A__20220708_02;0;66;0;-;MULTI_2022-07-08_01;51
ICME_STEREO_A_MOESTL_20220710_01;1;66;0;-;MULTI_2022-07-08_01;51
HCME_A__20220711_01;0;67;0;S20W100;MULTI_2022-07-11_01;50
2022-07-11T13:09:00-CME-001;3;67;0;S20W100;MULTI_2022-07-11_01;50
ICME_SOLO_MOESTL_20220713_01;1;67;0;S20W100;MULTI_2022-07-11_01;50
HCME_A__20220716_01;0;68;0;-;MULTI_2022-07-16_01;49
ICME_PSP_MOESTL_20220718_01;1;68;0;-;MULTI_2022-07-16_01;49
HCME_A__20220721_01;0;69;0;N13W04;MULTI_2022-07-21_01;48
2022-07-21T01:48:00-CME-001;3;69;0;N13W04;MULTI_2022-07-21_01;48
ICME_STEREO_A_MOESTL_20220722_01;1;69;0;N13W04;MULTI_2022-07-21_01;48
HCME_A__20220723_01;0;70;0;-;MULTI_2022-07-23_01;47
ICME_SOLO_MOESTL_20220725_01;1;70;0;-;MULTI_2022-07-23_01;47
HCME_A__20220817_01;0;71;0;S23W25;MULTI_2022-08-17_01;46
2022-08-17T14:53:00-CME-001;3;71;0;S23W25;MULTI_2022-08-17_01;46
ICME_PSP_MOESTL_20220818_01;1;71;0;S23W25;MULTI_2022-08-17_01;46
HCME_A__20220828_01;0;72;0;S27W85;MULTI_2022-08-28_01;45
