ID;event;event_number;mp;Source;lineupcat_id;event_number_old;event_number_new
ICME_PSP_MOESTL_20210430_01;1;23;8;;MULTI_2021-04-29_01;94;125
ICME_STEREO_A_MOESTL_20210504_01;1;23;8;-;MULTI_2021-04-29_01;94;125
ICME_BEPI_MOESTL_20210508_01;1;24;9;;MULTI_2021-05-08_01;93;124
ICME_SOLO_MOESTL_20210510_01;1;24;9;;MULTI_2021-05-08_01;93;124
HCME_A__20210509_01;0;25;0;S20E10;MULTI_2021-05-09_01;92;123
2021-05-09T11:23:00-CME-001;3;25;0;S20E10;MULTI_2021-05-09_01;92;123
ICME_Wind_MOESTL_20210512_01;1;25;0;S20E10;MULTI_2021-05-09_01;92;123
ICME_Wind_MOESTL_20210526_01;1;26;10;-;MULTI_2021-05-26_01;91;122
ICME_STEREO_A_MOESTL_20210526_01;1;26;10;-;MULTI_2021-05-26_01;91;122
HCME_A__20210526_01;0;27;0;S40W50;MULTI_2021-05-25_01;90;121
2021-05-25T19:00:00-CME-001;3;27;0;S40W50;MULTI_2021-05-25_01;90;121
ICME_PSP_MOESTL_20210528_01;1;27;0;S40W50;MULTI_2021-05-25_01;90;121
HCME_A__20210529_01;0;28;0;N19W68;MULTI_2021-05-28_01;89;120
2021-05-28T23:12:00-CME-001;3;28;0;N19W68;MULTI_2021-05-28_01;89;120
ICME_PSP_MOESTL_20210530_01;1;28;0;N19W68;MULTI_2021-05-28_01;89;120
HCME_A__20210609_02;0;29;0;-;MULTI_2021-06-09_01;88;119
ICME_PSP_MOESTL_20210612_01;1;29;0;-;MULTI_2021-06-09_01;88;119
HCME_A__20210616_01;0;30;0;S22E12;MULTI_2021-06-15_01;87;118
2021-06-15T04:24:00-CME-001;3;30;0;S22E12;MULTI_2021-06-15_01;87;118
ICME_STEREO_A_MOESTL_20210619_01;1;30;0;S22E12;MULTI_2021-06-15_01;87;118
HCME_A__20210620_01;0;31;0;-;MULTI_2021-06-20_01;86;117
ICME_PSP_MOESTL_20210624_01;1;31;0;-;MULTI_2021-06-20_01;86;117
HCME_A__20210627_01;0;32;0;-;MULTI_2021-06-27_01;85;116
2021-06-27T05:45:00-CME-001;3;32;0;-;MULTI_2021-06-27_01;85;116
ICME_PSP_MOESTL_20210630_01;1;32;0;-;MULTI_2021-06-27_01;85;116
2021-06-26T23:12:00-CME-001;3;33;0;-;MULTI_2021-06-26_01;84;115
ICME_BEPI_MOESTL_20210630_01;1;33;11;-;MULTI_2021-06-26_01;84;115
ICME_SOLO_MOESTL_20210630_01;1;33;11;-;MULTI_2021-06-26_01;84;115
HCME_A__20210707_01;0;34;0;N17W50;MULTI_2021-07-07_01;83;114
2021-07-07T16:24:00-CME-001;3;34;0;N17W50;MULTI_2021-07-07_01;83;114
ICME_PSP_MOESTL_20210711_01;1;34;0;N17W50;MULTI_2021-07-07_01;83;114
ICME_BEPI_MOESTL_20210725_01;1;35;12;;MULTI_2021-07-25_01;82;113
ICME_SOLO_MOESTL_20210726_01;1;35;12;;MULTI_2021-07-25_01;82;113
HCME_A__20210801_01;0;36;0;-;MULTI_2021-07-31_01;81;112
2021-07-31T17:38:00-CME-001;3;36;0;-;MULTI_2021-07-31_01;81;112
ICME_Wind_MOESTL_20210806_01;1;36;0;-;MULTI_2021-07-31_01;81;112
HCME_A__20210823_01;0;37;0;-;MULTI_2021-08-23_01;80;111
2021-08-23T06:36:00-CME-001;3;37;0;-;MULTI_2021-08-23_01;80;111
ICME_Wind_MOESTL_20210827_01;1;37;0;-;MULTI_2021-08-23_01;80;111
HCME_A__20210905_01;0;38;0;N21E06;MULTI_2021-09-04_01;79;110
2021-09-04T23:53:00-CME-001;3;38;0;N21E06;MULTI_2021-09-04_01;79;110
ICME_Wind_MOESTL_20210910_01;1;38;0;N21E06;MULTI_2021-09-04_01;79;110
HCME_A__20210906_01;0;39;0;-;MULTI_2021-09-05_01;78;109
2021-09-05T21:36:00-CME-001;3;39;0;-;MULTI_2021-09-05_01;78;109
ICME_Wind_MOESTL_20210910_02;1;39;0;-;MULTI_2021-09-05_01;78;109
ICME_PSP_MOESTL_20210912_01;1;40;13;-;MULTI_2021-09-12_01;77;108
ICME_STEREO_A_MOESTL_20210913_01;1;40;13;-;MULTI_2021-09-12_01;77;108
HCME_A__20210913_01;0;41;0;-;MULTI_2021-09-13_01;76;107
2021-09-13T10:36:00-CME-001;3;41;0;-;MULTI_2021-09-13_01;76;107
ICME_Wind_MOESTL_20210917_01;1;41;0;-;MULTI_2021-09-13_01;76;107
HCME_A__20210928_01;0;42;0;S27W45;MULTI_2021-09-28_01;75;106
2021-09-28T07:00:00-CME-001;3;42;0;S27W45;MULTI_2021-09-28_01;75;106
ICME_Wind_MOESTL_20211001_01;1;42;0;S27W45;MULTI_2021-09-28_01;75;106
HCME_A__20211002_01;0;43;0;-;MULTI_2021-10-01_01;74;105
